10020,5.27182,586700,poly-s2-p10020.graphml
10040,5.37845,587656,poly-s2-p10040.graphml
10060,5.3831,588560,poly-s2-p10060.graphml
10080,5.23255,589516,poly-s2-p10080.graphml
1010,0.4261,65096,poly-s2-p1010.graphml
10120,5.29153,592808,poly-s2-p10120.graphml
10140,5.27588,594060,poly-s2-p10140.graphml
10160,5.26801,594632,poly-s2-p10160.graphml
10180,5.3323,595988,poly-s2-p10180.graphml
1020,0.435063,65832,poly-s2-p1020.graphml
10220,6.02139,598432,poly-s2-p10220.graphml
10240,5.35693,599484,poly-s2-p10240.graphml
10260,5.38273,600988,poly-s2-p10260.graphml
10280,5.38351,601760,poly-s2-p10280.graphml
1030,0.438988,66604,poly-s2-p1030.graphml
10320,5.76607,604736,poly-s2-p10320.graphml
10340,5.7351,605460,poly-s2-p10340.graphml
10360,5.65196,607140,poly-s2-p10360.graphml
10380,5.64908,608800,poly-s2-p10380.graphml
1040,0.462836,67096,poly-s2-p1040.graphml
10420,5.81084,610864,poly-s2-p10420.graphml
10440,5.47418,611652,poly-s2-p10440.graphml
10460,5.49332,613552,poly-s2-p10460.graphml
10480,5.5114,614408,poly-s2-p10480.graphml
1050,0.448132,67800,poly-s2-p1050.graphml
10520,5.56282,616568,poly-s2-p10520.graphml
10540,7.0061,617532,poly-s2-p10540.graphml
10560,6.32967,619304,poly-s2-p10560.graphml
10580,6.32907,620076,poly-s2-p10580.graphml
1060,0.500837,68152,poly-s2-p1060.graphml
10620,6.07562,622136,poly-s2-p10620.graphml
10640,5.9057,623640,poly-s2-p10640.graphml
10660,5.86325,624904,poly-s2-p10660.graphml
10680,5.82968,625500,poly-s2-p10680.graphml
1070,0.477935,69220,poly-s2-p1070.graphml
10720,5.74918,628420,poly-s2-p10720.graphml
10740,6.06541,629444,poly-s2-p10740.graphml
10760,5.689,630692,poly-s2-p10760.graphml
10780,6.49141,632036,poly-s2-p10780.graphml
1080,0.473774,69820,poly-s2-p1080.graphml
10820,5.96794,633800,poly-s2-p10820.graphml
10840,6.4017,635168,poly-s2-p10840.graphml
10860,5.87152,636636,poly-s2-p10860.graphml
10880,5.97896,637548,poly-s2-p10880.graphml
1090,0.501125,69820,poly-s2-p1090.graphml
10920,6.13982,639340,poly-s2-p10920.graphml
10940,6.4421,641528,poly-s2-p10940.graphml
10960,6.04025,642024,poly-s2-p10960.graphml
10980,6.06521,643224,poly-s2-p10980.graphml
10,0.001608,8468,poly-s2-p10.graphml
11020,6.64374,645064,poly-s2-p11020.graphml
11040,6.39055,646268,poly-s2-p11040.graphml
11060,6.11561,647352,poly-s2-p11060.graphml
11080,5.90197,647772,poly-s2-p11080.graphml
110,0.044896,14492,poly-s2-p110.graphml
1110,0.485636,71104,poly-s2-p1110.graphml
11120,6.37153,650584,poly-s2-p11120.graphml
11140,6.07808,650828,poly-s2-p11140.graphml
11160,6.78758,652328,poly-s2-p11160.graphml
11180,6.11717,653580,poly-s2-p11180.graphml
1120,0.48564,71520,poly-s2-p1120.graphml
11220,6.3288,655608,poly-s2-p11220.graphml
11240,6.03669,657048,poly-s2-p11240.graphml
11260,5.98071,658372,poly-s2-p11260.graphml
11280,6.22918,659276,poly-s2-p11280.graphml
1130,0.487961,72448,poly-s2-p1130.graphml
11320,6.24813,661248,poly-s2-p11320.graphml
11340,6.75851,662428,poly-s2-p11340.graphml
11360,7.12345,663904,poly-s2-p11360.graphml
11380,6.71774,665088,poly-s2-p11380.graphml
1140,0.491899,72616,poly-s2-p1140.graphml
11420,6.07077,667128,poly-s2-p11420.graphml
11440,6.11985,668548,poly-s2-p11440.graphml
11460,6.13749,669684,poly-s2-p11460.graphml
11480,6.14962,671320,poly-s2-p11480.graphml
1150,0.498638,73512,poly-s2-p1150.graphml
11520,6.15465,673400,poly-s2-p11520.graphml
11540,6.61128,674292,poly-s2-p11540.graphml
11560,6.19005,675880,poly-s2-p11560.graphml
11580,6.17536,676588,poly-s2-p11580.graphml
1160,0.506429,73848,poly-s2-p1160.graphml
11620,6.33694,679192,poly-s2-p11620.graphml
11640,6.26732,680476,poly-s2-p11640.graphml
11660,6.35951,681696,poly-s2-p11660.graphml
11680,6.426,682588,poly-s2-p11680.graphml
1170,0.507279,74112,poly-s2-p1170.graphml
11720,6.28965,685044,poly-s2-p11720.graphml
11740,6.28218,685888,poly-s2-p11740.graphml
11760,6.43976,687236,poly-s2-p11760.graphml
11780,6.46879,688776,poly-s2-p11780.graphml
1180,0.516105,75064,poly-s2-p1180.graphml
11820,6.51561,690144,poly-s2-p11820.graphml
11840,6.4837,691416,poly-s2-p11840.graphml
11860,6.52521,692248,poly-s2-p11860.graphml
11880,6.36121,696456,poly-s2-p11880.graphml
1190,0.513286,75832,poly-s2-p1190.graphml
11920,6.41771,698028,poly-s2-p11920.graphml
11940,7.31825,699576,poly-s2-p11940.graphml
11960,7.15722,701492,poly-s2-p11960.graphml
11980,6.60804,701368,poly-s2-p11980.graphml
12020,6.94626,705084,poly-s2-p12020.graphml
12040,6.81868,705860,poly-s2-p12040.graphml
